id,label
1,Cat
2,Cat
3,Dog
4,Cat
5,Cat
6,Cat
7,Dog
8,Dog
9,Dog
10,Dog
11,Dog
12,Dog
13,Cat
14,Cat
15,Dog
16,Dog
17,Dog
18,Cat
19,Dog
20,Cat
21,Dog
22,Dog
23,Cat
24,Cat
25,Cat
26,Dog
27,Dog
28,Dog
29,Dog
30,Cat
31,Cat
32,Dog
33,Cat
34,Dog
35,Cat
36,Cat
37,Cat
38,Dog
39,Dog
40,Dog
41,Dog
42,Dog
43,Dog
44,Dog
45,Dog
46,Dog
47,Cat
48,Dog
49,Cat
50,Cat
51,Cat
52,Cat
53,Dog
54,Dog
55,Dog
56,Dog
57,Dog
58,Cat
59,Dog
60,Cat
61,Cat
62,Dog
63,Dog
64,Cat
65,Cat
66,Dog
67,Cat
68,Dog
69,Dog
70,Cat
71,Dog
72,Cat
73,Dog
74,Cat
75,Dog
76,Cat
77,Dog
78,Dog
79,Dog
80,Dog
81,Dog
82,Dog
83,Cat
84,Dog
85,Cat
86,Cat
87,Cat
88,Cat
89,Cat
90,Cat
91,Cat
92,Dog
93,Cat
94,Cat
95,Cat
96,Dog
97,Cat
98,Dog
99,Cat
100,Cat
101,Dog
102,Cat
103,Dog
104,Cat
105,Dog
106,Dog
107,Cat
108,Dog
109,Cat
110,Dog
111,Dog
112,Cat
113,Dog
114,Dog
115,Cat
116,Cat
117,Dog
118,Dog
119,Dog
120,Dog
121,Cat
122,Dog
123,Cat
124,Dog
125,Dog
126,Dog
127,Cat
128,Dog
129,Dog
130,Dog
131,Cat
132,Cat
133,Cat
134,Cat
135,Cat
136,Cat
137,Cat
138,Cat
139,Dog
140,Cat
141,Cat
142,Dog
143,Cat
144,Dog
145,Dog
146,Dog
147,Dog
148,Dog
149,Dog
150,Dog
151,Cat
152,Dog
153,Cat
154,Cat
155,Dog
156,Cat
157,Cat
158,Dog
159,Cat
160,Dog
161,Dog
162,Cat
163,Cat
164,Dog
165,Cat
166,Dog
167,Dog
168,Dog
169,Cat
170,Dog
171,Dog
172,Cat
173,Cat
174,Cat
175,Dog
176,Dog
177,Dog
178,Dog
179,Dog
180,Dog
181,Dog
182,Cat
183,Cat
184,Cat
185,Cat
186,Cat
187,Cat
188,Cat
189,Dog
190,Dog
191,Cat
192,Dog
193,Cat
194,Cat
195,Cat
196,Dog
197,Cat
198,Cat
199,Cat
200,Cat
201,Dog
202,Cat
203,Cat
204,Cat
205,Dog
206,Dog
207,Dog
208,Cat
209,Dog
210,Cat
211,Dog
212,Dog
213,Dog
214,Cat
215,Cat
216,Cat
217,Dog
218,Dog
219,Dog
220,Cat
221,Cat
222,Dog
223,Dog
224,Cat
225,Cat
226,Dog
227,Cat
228,Cat
229,Cat
230,Cat
231,Cat
232,Dog
233,Cat
234,Dog
235,Dog
236,Dog
237,Cat
238,Cat
239,Cat
240,Dog
